,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
15,488.0,873.0,478.0,946.0,490.0,791.0,537.0,1355.0,207.0,873.0,576.0,986.0,379.0,976.0,591.0,1148.0,355.0,1133.0,542.0,1266.0,414.0,1266.0,542.0,1261.0,409.0,1261.0,532.0,1365.0,429.0,1365.0,522.0,1655.0,443.0,1645.0
16,487.0,873.0,478.0,946.0,490.0,791.0,537.0,1355.0,207.0,873.0,576.0,986.0,379.0,976.0,591.0,1148.0,355.0,1133.0,542.0,1266.0,414.0,1266.0,542.0,1261.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1655.0,443.0,1645.0
17,487.0,877.0,478.0,946.0,490.0,791.0,537.0,1355.0,724.0,872.0,576.0,985.0,379.0,976.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,414.0,1266.0,542.0,1261.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1650.0,443.0,1646.0
18,487.0,872.0,478.0,946.0,490.0,791.0,537.0,1355.0,207.0,872.0,576.0,986.0,379.0,976.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,414.0,1262.0,542.0,1257.0,409.0,1262.0,532.0,1365.0,428.0,1365.0,522.0,1651.0,443.0,1651.0
19,487.0,877.0,478.0,946.0,490.0,791.0,537.0,1355.0,206.0,872.0,576.0,985.0,379.0,976.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1256.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1656.0,443.0,1651.0
20,487.0,877.0,478.0,951.0,490.0,790.0,537.0,1355.0,206.0,872.0,576.0,985.0,379.0,975.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1261.0,408.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1651.0,443.0,1651.0
21,483.0,876.0,478.0,945.0,490.0,789.0,532.0,1355.0,206.0,871.0,576.0,985.0,379.0,980.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1261.0,542.0,1256.0,408.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1651.0,443.0,1651.0
22,482.0,876.0,477.0,950.0,490.0,789.0,532.0,1355.0,206.0,871.0,576.0,985.0,379.0,980.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1256.0,408.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1652.0,443.0,1647.0
23,482.0,876.0,477.0,950.0,490.0,789.0,532.0,1355.0,206.0,871.0,576.0,984.0,379.0,979.0,591.0,1147.0,359.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1261.0,408.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1651.0,443.0,1651.0
24,482.0,876.0,477.0,950.0,490.0,789.0,537.0,1355.0,206.0,871.0,576.0,984.0,379.0,980.0,591.0,1147.0,354.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1261.0,408.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1651.0,443.0,1651.0
25,482.0,876.0,478.0,950.0,490.0,790.0,537.0,1355.0,206.0,871.0,576.0,985.0,379.0,980.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1261.0,408.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1651.0,443.0,1651.0
26,482.0,877.0,478.0,946.0,490.0,790.0,532.0,1355.0,207.0,872.0,576.0,985.0,379.0,980.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1261.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1655.0,443.0,1650.0
27,483.0,877.0,478.0,946.0,490.0,791.0,537.0,1355.0,206.0,872.0,576.0,985.0,379.0,975.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1261.0,542.0,1256.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1656.0,443.0,1651.0
28,482.0,878.0,478.0,947.0,490.0,792.0,537.0,1355.0,207.0,873.0,576.0,981.0,379.0,976.0,591.0,1148.0,355.0,1134.0,541.0,1266.0,414.0,1262.0,541.0,1257.0,409.0,1262.0,532.0,1365.0,428.0,1365.0,522.0,1655.0,443.0,1650.0
29,482.0,877.0,477.0,946.0,490.0,791.0,532.0,1355.0,207.0,872.0,576.0,986.0,379.0,976.0,591.0,1148.0,354.0,1133.0,541.0,1266.0,413.0,1261.0,541.0,1256.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1655.0,443.0,1650.0
30,482.0,877.0,478.0,946.0,490.0,791.0,532.0,1355.0,206.0,872.0,576.0,985.0,379.0,975.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1261.0,542.0,1256.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1656.0,443.0,1651.0
31,482.0,877.0,478.0,946.0,490.0,791.0,532.0,1355.0,207.0,872.0,576.0,985.0,379.0,976.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,414.0,1261.0,542.0,1256.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1655.0,443.0,1650.0
32,482.0,877.0,478.0,946.0,480.0,791.0,532.0,1355.0,207.0,872.0,576.0,986.0,379.0,976.0,591.0,1148.0,355.0,1133.0,542.0,1266.0,414.0,1266.0,542.0,1256.0,409.0,1261.0,532.0,1365.0,428.0,1365.0,522.0,1655.0,443.0,1645.0
33,482.0,877.0,477.0,946.0,490.0,790.0,532.0,1355.0,206.0,872.0,576.0,985.0,379.0,975.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1257.0,408.0,1257.0,532.0,1365.0,428.0,1365.0,522.0,1651.0,443.0,1651.0
34,482.0,877.0,477.0,946.0,490.0,790.0,532.0,1355.0,206.0,872.0,576.0,985.0,379.0,980.0,591.0,1148.0,354.0,1133.0,542.0,1266.0,413.0,1266.0,542.0,1257.0,408.0,1261.0,532.0,1365.0,428.0,1360.0,522.0,1651.0,443.0,1651.0
35,482.0,877.0,477.0,946.0,480.0,791.0,537.0,1355.0,206.0,873.0,576.0,986.0,379.0,976.0,591.0,1148.0,354.0,1134.0,541.0,1267.0,413.0,1262.0,541.0,1257.0,408.0,1257.0,532.0,1365.0,428.0,1365.0,522.0,1651.0,443.0,1651.0
36,482.0,878.0,477.0,947.0,480.0,792.0,536.0,1355.0,207.0,873.0,576.0,986.0,379.0,976.0,590.0,1149.0,354.0,1134.0,541.0,1267.0,413.0,1262.0,541.0,1257.0,408.0,1257.0,531.0,1365.0,428.0,1365.0,522.0,1655.0,443.0,1650.0
37,482.0,877.0,477.0,946.0,489.0,791.0,536.0,1355.0,206.0,873.0,580.0,986.0,379.0,976.0,590.0,1148.0,354.0,1133.0,541.0,1266.0,413.0,1261.0,546.0,1257.0,408.0,1257.0,531.0,1365.0,428.0,1365.0,521.0,1655.0,443.0,1655.0
38,487.0,873.0,477.0,947.0,489.0,792.0,536.0,1355.0,207.0,873.0,580.0,981.0,378.0,981.0,590.0,1148.0,354.0,1134.0,541.0,1266.0,413.0,1266.0,545.0,1256.0,408.0,1261.0,531.0,1364.0,428.0,1364.0,521.0,1659.0,442.0,1654.0
39,486.0,874.0,477.0,947.0,489.0,793.0,535.0,1355.0,207.0,874.0,580.0,982.0,378.0,977.0,589.0,1149.0,354.0,1134.0,540.0,1266.0,413.0,1262.0,545.0,1257.0,408.0,1262.0,535.0,1365.0,428.0,1365.0,521.0,1659.0,442.0,1654.0
40,486.0,874.0,476.0,947.0,489.0,793.0,535.0,1355.0,206.0,874.0,579.0,982.0,378.0,982.0,594.0,1149.0,354.0,1134.0,540.0,1266.0,412.0,1262.0,545.0,1262.0,408.0,1262.0,535.0,1365.0,427.0,1360.0,520.0,1659.0,442.0,1654.0
41,486.0,874.0,476.0,948.0,488.0,794.0,535.0,1355.0,207.0,874.0,579.0,982.0,378.0,977.0,594.0,1149.0,354.0,1134.0,540.0,1267.0,412.0,1262.0,545.0,1257.0,408.0,1262.0,535.0,1365.0,427.0,1360.0,520.0,1659.0,442.0,1654.0
42,486.0,874.0,481.0,948.0,488.0,793.0,535.0,1355.0,206.0,874.0,579.0,987.0,378.0,982.0,594.0,1149.0,349.0,1134.0,540.0,1267.0,412.0,1262.0,545.0,1257.0,407.0,1262.0,535.0,1365.0,427.0,1360.0,520.0,1659.0,442.0,1654.0
43,486.0,874.0,481.0,948.0,488.0,793.0,535.0,1355.0,206.0,874.0,579.0,987.0,378.0,982.0,594.0,1149.0,348.0,1134.0,540.0,1267.0,412.0,1262.0,545.0,1257.0,407.0,1257.0,535.0,1365.0,427.0,1365.0,520.0,1654.0,442.0,1654.0
44,486.0,874.0,481.0,948.0,488.0,793.0,535.0,1355.0,206.0,874.0,579.0,987.0,378.0,982.0,594.0,1149.0,348.0,1134.0,540.0,1267.0,412.0,1262.0,545.0,1257.0,407.0,1262.0,530.0,1360.0,427.0,1365.0,520.0,1654.0,441.0,1649.0
45,485.0,873.0,480.0,947.0,488.0,792.0,535.0,1355.0,205.0,873.0,579.0,986.0,377.0,982.0,594.0,1149.0,348.0,1134.0,539.0,1267.0,412.0,1262.0,544.0,1257.0,407.0,1257.0,535.0,1365.0,426.0,1365.0,520.0,1655.0,441.0,1650.0
46,485.0,873.0,480.0,952.0,488.0,791.0,535.0,1351.0,205.0,873.0,579.0,986.0,377.0,981.0,594.0,1149.0,347.0,1134.0,540.0,1267.0,411.0,1262.0,544.0,1252.0,407.0,1257.0,530.0,1360.0,426.0,1365.0,520.0,1646.0,441.0,1646.0
47,485.0,873.0,480.0,947.0,488.0,792.0,534.0,1355.0,205.0,873.0,579.0,986.0,377.0,981.0,593.0,1149.0,342.0,1134.0,539.0,1267.0,406.0,1262.0,544.0,1252.0,406.0,1252.0,530.0,1360.0,426.0,1365.0,520.0,1651.0,441.0,1651.0
48,485.0,872.0,480.0,946.0,488.0,791.0,534.0,1355.0,204.0,872.0,579.0,986.0,377.0,981.0,598.0,1148.0,342.0,1133.0,544.0,1267.0,406.0,1257.0,544.0,1252.0,411.0,1252.0,534.0,1365.0,426.0,1360.0,520.0,1651.0,446.0,1646.0
49,485.0,872.0,480.0,946.0,487.0,791.0,534.0,1355.0,204.0,872.0,578.0,986.0,377.0,981.0,598.0,1148.0,337.0,1133.0,544.0,1266.0,406.0,1256.0,539.0,1246.0,411.0,1251.0,529.0,1364.0,426.0,1364.0,519.0,1655.0,441.0,1650.0
50,485.0,876.0,480.0,950.0,487.0,790.0,534.0,1355.0,203.0,871.0,579.0,985.0,376.0,980.0,598.0,1148.0,337.0,1133.0,544.0,1266.0,406.0,1256.0,539.0,1247.0,411.0,1247.0,534.0,1365.0,426.0,1365.0,519.0,1652.0,445.0,1647.0
51,485.0,876.0,475.0,950.0,487.0,790.0,534.0,1355.0,203.0,871.0,579.0,985.0,376.0,980.0,598.0,1148.0,337.0,1133.0,549.0,1262.0,406.0,1257.0,539.0,1242.0,411.0,1247.0,534.0,1365.0,426.0,1365.0,519.0,1652.0,445.0,1647.0
52,485.0,876.0,480.0,950.0,487.0,790.0,534.0,1355.0,204.0,872.0,579.0,985.0,376.0,980.0,603.0,1148.0,332.0,1133.0,549.0,1261.0,401.0,1256.0,539.0,1241.0,411.0,1246.0,534.0,1365.0,431.0,1369.0,519.0,1655.0,441.0,1651.0
53,485.0,877.0,480.0,951.0,487.0,792.0,539.0,1354.0,205.0,873.0,578.0,985.0,377.0,981.0,603.0,1147.0,333.0,1133.0,549.0,1265.0,401.0,1255.0,534.0,1246.0,411.0,1246.0,534.0,1363.0,431.0,1373.0,519.0,1653.0,441.0,1648.0
54,485.0,878.0,480.0,952.0,487.0,793.0,539.0,1358.0,206.0,874.0,578.0,986.0,377.0,981.0,607.0,1148.0,333.0,1133.0,553.0,1265.0,397.0,1251.0,539.0,1246.0,411.0,1246.0,534.0,1363.0,431.0,1378.0,524.0,1657.0,441.0,1652.0
55,485.0,875.0,480.0,949.0,487.0,795.0,539.0,1360.0,206.0,875.0,578.0,983.0,377.0,983.0,607.0,1145.0,328.0,1130.0,553.0,1262.0,392.0,1252.0,534.0,1242.0,416.0,1242.0,534.0,1365.0,431.0,1384.0,519.0,1654.0,441.0,1649.0
56,485.0,878.0,480.0,952.0,487.0,792.0,539.0,1361.0,204.0,873.0,579.0,986.0,376.0,981.0,613.0,1144.0,327.0,1134.0,559.0,1258.0,391.0,1248.0,534.0,1243.0,411.0,1243.0,534.0,1371.0,431.0,1391.0,519.0,1652.0,441.0,1652.0
57,485.0,879.0,480.0,953.0,488.0,792.0,539.0,1361.0,204.0,874.0,579.0,987.0,377.0,982.0,613.0,1145.0,327.0,1135.0,559.0,1258.0,392.0,1248.0,534.0,1243.0,416.0,1243.0,534.0,1366.0,431.0,1391.0,520.0,1652.0,441.0,1652.0
58,485.0,883.0,480.0,956.0,487.0,797.0,539.0,1362.0,206.0,878.0,583.0,985.0,377.0,985.0,612.0,1147.0,328.0,1132.0,563.0,1259.0,387.0,1249.0,539.0,1245.0,416.0,1249.0,539.0,1367.0,431.0,1391.0,519.0,1655.0,441.0,1651.0
59,485.0,883.0,480.0,957.0,488.0,798.0,539.0,1357.0,207.0,878.0,583.0,986.0,378.0,986.0,617.0,1147.0,329.0,1132.0,568.0,1264.0,383.0,1254.0,534.0,1249.0,417.0,1249.0,534.0,1367.0,432.0,1391.0,519.0,1650.0,441.0,1655.0
60,486.0,883.0,481.0,956.0,488.0,797.0,539.0,1356.0,208.0,878.0,583.0,990.0,378.0,985.0,618.0,1151.0,325.0,1136.0,574.0,1263.0,378.0,1258.0,535.0,1253.0,413.0,1258.0,535.0,1366.0,432.0,1385.0,520.0,1649.0,442.0,1649.0
61,485.0,886.0,480.0,958.0,488.0,801.0,539.0,1360.0,209.0,881.0,582.0,987.0,379.0,987.0,621.0,1157.0,325.0,1137.0,577.0,1268.0,374.0,1258.0,539.0,1258.0,417.0,1268.0,534.0,1370.0,427.0,1389.0,524.0,1651.0,442.0,1646.0
62,485.0,886.0,480.0,959.0,487.0,802.0,524.0,1644.0,210.0,882.0,586.0,993.0,379.0,988.0,620.0,1157.0,326.0,1142.0,577.0,1272.0,369.0,1268.0,538.0,1263.0,417.0,1272.0,533.0,1374.0,417.0,1393.0,524.0,1649.0,442.0,1649.0
63,489.0,888.0,480.0,959.0,487.0,810.0,523.0,1642.0,376.0,1529.0,584.0,992.0,380.0,988.0,622.0,1159.0,323.0,1149.0,580.0,1272.0,361.0,1272.0,537.0,1268.0,418.0,1272.0,532.0,1381.0,423.0,1448.0,523.0,1657.0,447.0,1647.0
64,485.0,887.0,481.0,962.0,488.0,814.0,523.0,1641.0,217.0,892.0,584.0,995.0,382.0,991.0,622.0,1165.0,320.0,1151.0,584.0,1278.0,358.0,1278.0,532.0,1269.0,419.0,1273.0,532.0,1396.0,419.0,1462.0,523.0,1660.0,443.0,1655.0
65,486.0,888.0,481.0,964.0,488.0,816.0,523.0,1649.0,218.0,893.0,584.0,996.0,378.0,992.0,622.0,1165.0,322.0,1151.0,584.0,1283.0,354.0,1287.0,533.0,1273.0,415.0,1278.0,523.0,1447.0,415.0,1470.0,523.0,1658.0,444.0,1653.0
66,488.0,893.0,483.0,965.0,490.0,810.0,522.0,1646.0,215.0,889.0,589.0,999.0,378.0,994.0,627.0,1172.0,320.0,1157.0,589.0,1287.0,354.0,1291.0,531.0,1272.0,416.0,1277.0,526.0,1459.0,416.0,1469.0,522.0,1661.0,445.0,1656.0
67,488.0,894.0,483.0,970.0,490.0,816.0,521.0,1643.0,217.0,894.0,587.0,998.0,379.0,993.0,625.0,1174.0,322.0,1159.0,592.0,1292.0,350.0,1297.0,535.0,1278.0,416.0,1283.0,530.0,1434.0,421.0,1449.0,521.0,1652.0,445.0,1652.0
68,492.0,896.0,483.0,971.0,490.0,818.0,521.0,1643.0,218.0,896.0,591.0,1005.0,379.0,995.0,629.0,1175.0,322.0,1165.0,596.0,1302.0,350.0,1307.0,535.0,1279.0,417.0,1283.0,535.0,1368.0,426.0,1416.0,521.0,1652.0,445.0,1657.0
69,493.0,897.0,483.0,972.0,490.0,819.0,540.0,1358.0,338.0,897.0,592.0,1005.0,380.0,1000.0,629.0,1174.0,319.0,1170.0,606.0,1311.0,347.0,1315.0,535.0,1283.0,413.0,1287.0,540.0,1367.0,427.0,1409.0,521.0,1654.0,446.0,1654.0
70,494.0,899.0,484.0,975.0,491.0,817.0,541.0,1361.0,338.0,894.0,593.0,1008.0,380.0,998.0,635.0,1177.0,324.0,1173.0,612.0,1314.0,343.0,1319.0,536.0,1281.0,413.0,1286.0,541.0,1371.0,423.0,1404.0,522.0,1654.0,442.0,1654.0
71,492.0,898.0,487.0,978.0,494.0,816.0,543.0,1363.0,224.0,893.0,595.0,1006.0,379.0,1001.0,637.0,1184.0,323.0,1175.0,618.0,1321.0,337.0,1325.0,539.0,1283.0,417.0,1283.0,539.0,1372.0,421.0,1410.0,520.0,1659.0,445.0,1654.0
72,496.0,895.0,486.0,975.0,503.0,813.0,543.0,1366.0,340.0,891.0,594.0,1008.0,383.0,1004.0,637.0,1187.0,326.0,1178.0,618.0,1328.0,335.0,1333.0,538.0,1281.0,416.0,1281.0,538.0,1376.0,425.0,1409.0,519.0,1658.0,444.0,1653.0
73,496.0,893.0,486.0,978.0,503.0,810.0,519.0,1639.0,221.0,888.0,595.0,1011.0,382.0,1001.0,637.0,1186.0,330.0,1176.0,623.0,1337.0,330.0,1337.0,538.0,1280.0,415.0,1275.0,538.0,1384.0,425.0,1403.0,519.0,1658.0,444.0,1654.0
74,498.0,891.0,489.0,976.0,501.0,813.0,536.0,1376.0,220.0,891.0,597.0,1009.0,381.0,999.0,640.0,1192.0,329.0,1178.0,630.0,1343.0,324.0,1343.0,541.0,1282.0,418.0,1277.0,536.0,1386.0,428.0,1400.0,522.0,1654.0,442.0,1650.0
75,497.0,887.0,487.0,973.0,504.0,804.0,535.0,1381.0,222.0,883.0,597.0,1006.0,383.0,997.0,639.0,1191.0,331.0,1177.0,635.0,1348.0,321.0,1343.0,540.0,1277.0,421.0,1277.0,535.0,1391.0,435.0,1410.0,516.0,1657.0,445.0,1652.0
76,497.0,883.0,492.0,968.0,494.0,805.0,535.0,1385.0,222.0,883.0,601.0,1006.0,383.0,997.0,639.0,1191.0,331.0,1177.0,639.0,1352.0,317.0,1347.0,539.0,1276.0,421.0,1276.0,535.0,1399.0,430.0,1413.0,516.0,1655.0,445.0,1650.0
77,500.0,881.0,490.0,962.0,502.0,808.0,537.0,1388.0,220.0,886.0,599.0,1000.0,386.0,990.0,637.0,1189.0,334.0,1175.0,646.0,1350.0,315.0,1345.0,542.0,1274.0,419.0,1274.0,533.0,1397.0,428.0,1412.0,518.0,1658.0,443.0,1653.0
78,500.0,874.0,490.0,959.0,497.0,800.0,519.0,1645.0,214.0,888.0,600.0,997.0,381.0,988.0,638.0,1188.0,333.0,1173.0,652.0,1354.0,314.0,1345.0,543.0,1273.0,419.0,1273.0,533.0,1397.0,428.0,1421.0,519.0,1664.0,443.0,1654.0
79,501.0,867.0,495.0,949.0,501.0,780.0,531.0,1386.0,192.0,852.0,603.0,991.0,382.0,980.0,634.0,1181.0,331.0,1175.0,655.0,1350.0,316.0,1340.0,547.0,1268.0,418.0,1268.0,531.0,1402.0,429.0,1417.0,521.0,1653.0,444.0,1653.0
80,502.0,855.0,492.0,944.0,497.0,767.0,518.0,1658.0,189.0,845.0,601.0,985.0,382.0,975.0,637.0,1178.0,335.0,1168.0,658.0,1350.0,314.0,1335.0,544.0,1262.0,419.0,1262.0,533.0,1408.0,429.0,1423.0,518.0,1663.0,445.0,1663.0
81,502.0,848.0,492.0,933.0,497.0,758.0,518.0,1648.0,185.0,837.0,603.0,975.0,386.0,965.0,635.0,1171.0,333.0,1166.0,661.0,1346.0,317.0,1330.0,545.0,1256.0,418.0,1261.0,529.0,1431.0,434.0,1436.0,518.0,1664.0,444.0,1664.0
82,502.0,832.0,492.0,927.0,499.0,746.0,523.0,1659.0,186.0,832.0,602.0,969.0,381.0,959.0,634.0,1164.0,339.0,1159.0,660.0,1338.0,312.0,1328.0,549.0,1254.0,418.0,1249.0,528.0,1438.0,439.0,1428.0,518.0,1665.0,444.0,1665.0
83,501.0,824.0,496.0,913.0,499.0,743.0,522.0,1659.0,186.0,829.0,601.0,961.0,380.0,950.0,632.0,1155.0,338.0,1150.0,659.0,1328.0,312.0,1313.0,554.0,1244.0,422.0,1244.0,533.0,1444.0,438.0,1433.0,522.0,1670.0,443.0,1670.0
84,502.0,810.0,491.0,900.0,502.0,731.0,534.0,1441.0,189.0,800.0,603.0,948.0,380.0,937.0,634.0,1150.0,338.0,1139.0,661.0,1319.0,311.0,1303.0,555.0,1240.0,422.0,1240.0,534.0,1452.0,438.0,1436.0,518.0,1659.0,444.0,1669.0
85,504.0,800.0,493.0,886.0,498.0,715.0,536.0,1448.0,188.0,790.0,605.0,934.0,380.0,924.0,632.0,1138.0,338.0,1127.0,659.0,1309.0,311.0,1293.0,552.0,1239.0,423.0,1234.0,536.0,1459.0,445.0,1438.0,520.0,1662.0,445.0,1668.0
86,500.0,783.0,494.0,875.0,500.0,701.0,538.0,1451.0,179.0,772.0,603.0,924.0,380.0,913.0,635.0,1125.0,336.0,1114.0,657.0,1294.0,315.0,1283.0,554.0,1223.0,423.0,1223.0,538.0,1457.0,445.0,1435.0,521.0,1663.0,445.0,1669.0
87,500.0,770.0,495.0,859.0,500.0,687.0,544.0,1445.0,174.0,759.0,605.0,914.0,384.0,903.0,633.0,1113.0,334.0,1102.0,655.0,1279.0,318.0,1268.0,550.0,1212.0,423.0,1212.0,544.0,1456.0,450.0,1439.0,522.0,1660.0,445.0,1671.0
88,499.0,759.0,493.0,844.0,499.0,675.0,544.0,1449.0,168.0,748.0,606.0,900.0,381.0,888.0,634.0,1096.0,336.0,1090.0,656.0,1270.0,320.0,1258.0,550.0,1208.0,421.0,1214.0,544.0,1460.0,454.0,1443.0,521.0,1662.0,449.0,1673.0
89,500.0,743.0,494.0,834.0,500.0,663.0,540.0,1440.0,163.0,737.0,603.0,886.0,380.0,874.0,631.0,1086.0,334.0,1075.0,654.0,1257.0,317.0,1252.0,546.0,1189.0,420.0,1195.0,540.0,1446.0,454.0,1440.0,523.0,1663.0,448.0,1675.0
